Description_clean;total_sold;total_returned;sales_revenue;return_revenue;return_rate;anomaly_flag;impact_score
MONEY BOX POCKET MONEY DESIGN;277;0;317,25;0,0;0,0;Normal;0,0
MONSTERS STENCIL CRAFT;1210;0;1523,3;0,0;0,0;Normal;0,0
MONTANA DIAMOND CLUSTER EARRINGS;3;0;8,82;0,0;0,0;Normal;0,0
MONTANA DIAMOND CLUSTER NECKLACE;4;0;37,66;0,0;0,0;Normal;0,0
MOODY BOY  DOOR HANGER;1065;0;563,16;0,0;0,0;Normal;0,0
MOODY GIRL DOOR HANGER;1412;24;744,8;9,36;1,7;Normal;0,16
MOP PENDANT SHELL NECKLACE;10;0;49,64;0,0;0,0;Normal;0,0
MORE BUTTER METAL SIGN;695;0;763,71;0,0;0,0;Normal;0,0
MOROCCAN BEATEN METAL DISH;10;3;110,34;29,85;30,0;Normal;8,95
MOROCCAN BEATEN METAL DISH LARGE;11;0;152,99;0,0;0,0;Normal;0,0
MOROCCAN BEATEN METAL MIRROR;15;0;217,1;0,0;0,0;Normal;0,0
MOROCCAN TEA GLASS;4054;9;3265,54;6,05;0,22;Normal;0,01
MOTHER'S KITCHEN SPOON REST;161;6;723,42;22,5;3,73;Normal;0,84
MOTORING TISSUE BOX;1605;12;709,4;15,0;0,75;Normal;0,11
MOULDY;0;40;0,0;0,0;;Suspicious Return;
MOULDY, THROWN AWAY.;0;2600;0,0;0,0;;Suspicious Return;
MOULDY, UNSALEABLE.;0;1681;0,0;0,0;;Suspicious Return;
MOUSE TOY WITH PINK T-SHIRT;358;0;1366,18;0,0;0,0;Normal;0,0
MOUSEY LONG LEGS SOFT TOY;91;0;250,73;0,0;0,0;Normal;0,0
MR ROBOT SOFT TOY;168;4;524,1;27,8;2,38;Normal;0,66
MRS ROBOT SOFT TOY;126;1;390,7;1,95;0,79;Normal;0,02
MUG , DOTCOMGIFTSHOP.COM;5;0;4,17;0,0;0,0;Normal;0,0
MULTI COLOUR SILVER T-LIGHT HOLDER;10017;92;8320,59;88,11;0,92;Normal;0,81
MULTI HEARTS  STICKERS;213;0;184,29;0,0;0,0;Normal;0,0
MULTICOLOUR  CONFETTI IN TUBE;140;0;164,56;0,0;0,0;Normal;0,0
MULTICOLOUR 3D BALLS GARLAND;223;20;600,69;51,0;8,97;Normal;4,57
MULTICOLOUR EASTER RABBIT;14;0;27,3;0,0;0,0;Normal;0,0
MULTICOLOUR HONEYCOMB FAN;768;19;548,8;8,33;2,47;Normal;0,21
MULTICOLOUR HONEYCOMB PAPER GARLAND;1071;0;1451,94;0,0;0,0;Normal;0,0
MULTICOLOUR POLKADOT PLATE;29;0;30,43;0,0;0,0;Normal;0,0
MULTICOLOUR RABBIT EGG WARMER;281;0;259,77;0,0;0,0;Normal;0,0
MULTICOLOUR SPRING FLOWER MUG;2400;3;1639,7;1,17;0,12;Normal;0,0
MUM'S KITCHEN CLOCK;86;1;442,89;4,95;1,16;Normal;0,06
MUMMY MOUSE RED GINGHAM RIBBON;1;0;5,45;0,0;0,0;Normal;0,0
MURANO STYLE GLASS BRACELET BLACK;18;0;66,7;0,0;0,0;Normal;0,0
MURANO STYLE GLASS BRACELET GOLD;15;0;54,42;0,0;0,0;Normal;0,0
MURANO STYLE GLASS BRACELET RED;14;0;54,29;0,0;0,0;Normal;0,0
MUSICAL ZINC HEART DECORATION;2569;34;1094,77;28,9;1,32;Normal;0,38
N0 SINGING METAL SIGN;1117;0;2436,62;0,0;0,0;Normal;0,0
NAMASTE SWAGAT INCENSE;2391;0;632,34;0,0;0,0;Normal;0,0
NATURAL HANGING QUILTED HEARTS;1292;16;1040,92;13,28;1,24;Normal;0,16
NATURAL SLATE CHALKBOARD LARGE;1669;62;9247,57;297,1;3,71;Normal;11,02
NATURAL SLATE HEART CHALKBOARD;8800;52;27108,16;152,6;0,59;Normal;0,9
NATURAL SLATE RECTANGLE CHALKBOARD;3004;35;5277,73;57,75;1,17;Normal;0,68
NEW BAROQUE B'FLY NECKLACE CRYSTAL;5;0;42,13;0,0;0,0;Normal;0,0
NEW BAROQUE B'FLY NECKLACE GREEN;4;0;33,81;0,0;0,0;Normal;0,0
NEW BAROQUE B'FLY NECKLACE MONTANA;2;0;16,81;0,0;0,0;Normal;0,0
NEW BAROQUE B'FLY NECKLACE PINK;2;0;16,82;0,0;0,0;Normal;0,0
NEW BAROQUE B'FLY NECKLACE RED;4;0;33,28;0,0;0,0;Normal;0,0
NEW BAROQUE BLACK BOXES;2;0;25,5;0,0;0,0;Normal;0,0
NEW BAROQUE BLACK PHOTO ALBUM;27;0;146,21;0,0;0,0;Normal;0,0
NEW BAROQUE JEWELLERY BOX;47;1;399,19;7,95;2,13;Normal;0,17
NEW BAROQUE LARGE NECKLACE BLK/WHIT;16;0;134,16;0,0;0,0;Normal;0,0
NEW BAROQUE SMALL NECKLACE BLACK;5;0;42,14;0,0;0,0;Normal;0,0
NEW ENGLAND MUG W GIFT BOX;2;0;5,1;0,0;0,0;Normal;0,0
NEWSPAPER STAND;27;0;316,95;0,0;0,0;Normal;0,0
NEXT DAY CARRIAGE;79;1;1200,0;15,0;1,27;Normal;0,19
NINE DRAWER OFFICE TIDY;48;0;744,92;0,0;0,0;Normal;0,0
NINJA RABBIT BLACK;187;0;239,24;0,0;0,0;Normal;0,0
NINJA RABBIT PINK;158;0;176,54;0,0;0,0;Normal;0,0
NO JUNK MAIL METAL SIGN;1806;12;1248,63;4,68;0,66;Normal;0,03
NO SINGING METAL SIGN;4569;38;9745,86;73,3;0,83;Normal;0,61
NOEL GARLAND PAINTED ZINC;1135;12;669,52;17,4;1,06;Normal;0,18
NOEL WOODEN BLOCK LETTERS;320;1;1981,3;5,95;0,31;Normal;0,02
NOT RCVD IN 10/11/2010 DELIVERY;0;360;0,0;0,0;;Suspicious Return;
NOVELTY BISCUITS CAKE STAND 3 TIER;321;25;3355,27;228,45;7,79;Normal;17,8
NUMBER TILE COTTAGE GARDEN 0;56;0;131,0;0,0;0,0;Normal;0,0
NUMBER TILE COTTAGE GARDEN 1;88;1;230,54;1,95;1,14;Normal;0,02
NUMBER TILE COTTAGE GARDEN 2;86;0;226,64;0,0;0,0;Normal;0,0
NUMBER TILE COTTAGE GARDEN 3;59;0;147,75;0,0;0,0;Normal;0,0
NUMBER TILE COTTAGE GARDEN 4;64;0;161,86;0,0;0,0;Normal;0,0
NUMBER TILE COTTAGE GARDEN 5;52;0;129,9;0,0;0,0;Normal;0,0
NUMBER TILE COTTAGE GARDEN 6;57;0;135,21;0,0;0,0;Normal;0,0
NUMBER TILE COTTAGE GARDEN 7;55;0;133,49;0,0;0,0;Normal;0,0
NUMBER TILE COTTAGE GARDEN 8;53;0;123,21;0,0;0,0;Normal;0,0
NUMBER TILE COTTAGE GARDEN 9;55;1;122,51;1,95;1,82;Normal;0,04
NUMBER TILE COTTAGE GARDEN NO;75;1;204,19;2,1;1,33;Normal;0,03
NUMBER TILE VINTAGE FONT 0;70;0;102,46;0,0;0,0;Normal;0,0
NUMBER TILE VINTAGE FONT 1;99;0;200,59;0,0;0,0;Normal;0,0
NUMBER TILE VINTAGE FONT 2;102;0;197,56;0,0;0,0;Normal;0,0
NUMBER TILE VINTAGE FONT 3;108;1;213,7;1,95;0,93;Normal;0,02
NUMBER TILE VINTAGE FONT 4;100;1;191,48;1,95;1,0;Normal;0,02
NUMBER TILE VINTAGE FONT 5;99;0;194,05;0,0;0,0;Normal;0,0
NUMBER TILE VINTAGE FONT 6;96;1;172,78;1,95;1,04;Normal;0,02
NUMBER TILE VINTAGE FONT 7;87;0;146,43;0,0;0,0;Normal;0,0
NUMBER TILE VINTAGE FONT 8;78;0;126,78;0,0;0,0;Normal;0,0
NUMBER TILE VINTAGE FONT 9;76;0;124,98;0,0;0,0;Normal;0,0
NUMBER TILE VINTAGE FONT NO;173;0;272,2;0,0;0,0;Normal;0,0
NURSE'S BAG SOFT TOY;30;0;276,53;0,0;0,0;Normal;0,0
NURSERY A,B,C PAINTED LETTERS;179;0;880,95;0,0;0,0;Normal;0,0
OCEAN SCENT CANDLE IN JEWELLED BOX;732;200;1367,16;206,5;27,32;Normal;56,42
OCEAN SCENT CANDLE JEWELLED DRAWER;1;0;8,47;0,0;0,0;Normal;0,0
OCEAN STRIPE HAMMOCK;2;0;15,9;0,0;0,0;Normal;0,0
OFFICE MUG WARMER PINK;427;250;1157,73;637,5;58,55;Normal;373,26
OFFICE MUG WARMER POLKADOT;343;0;1059,59;0,0;0,0;Normal;0,0
OLD DOC RUSSEL METAL SIGN;14;0;29,4;0,0;0,0;Normal;0,0
OLD ROSE COMBO BEAD NECKLACE;54;0;157,5;0,0;0,0;Normal;0,0
ON CARGO ORDER;192;0;0,0;0,0;0,0;Normal;0,0
OOH LA LA DOGS COLLAR;1;0;15,79;0,0;0,0;Normal;0,0
OPEN CLOSED METAL SIGN;1279;6;6298,08;29,7;0,47;Normal;0,14
OPIUM SCENTED VOTIVE CANDLE;816;0;196,32;0,0;0,0;Normal;0,0
OPULENT VELVET SET/3 CANDLES;2;0;8,42;0,0;0,0;Normal;0,0
ORANGE FLOWER MUG;10;0;9,06;0,0;0,0;Normal;0,0
ORANGE PENDANT TRIPLE SHELL NECKLAC;2;0;9,9;0,0;0,0;Normal;0,0
ORANGE SCENTED SET/9 T-LIGHTS;588;10;500,85;8,5;1,7;Normal;0,14
ORANGE TV TRAY TABLE;504;0;1165,91;0,0;0,0;Normal;0,0
ORANGE VOTIVE CANDLE;960;48;236,16;13,92;5,0;Normal;0,7
ORANGE/FUSCHIA STONES NECKLACE;1;0;4,98;0,0;0,0;Normal;0,0
ORANGE/WHT/FUSCHIA STONES NECKLACE;8;0;39,66;0,0;0,0;Normal;0,0
ORGANISER WOOD ANTIQUE WHITE;120;8;1001,3;68,0;6,67;Normal;4,54
ORIENTAL RED CUSHION COVER;13;0;60,45;0,0;0,0;Normal;0,0
ORIGAMI JASMINE INCENSE/CANDLE SET;471;0;539,75;0,0;0,0;Normal;0,0
ORIGAMI LAVENDER INCENSE/CANDL SET;421;0;484,35;0,0;0,0;Normal;0,0
ORIGAMI OPIUM INCENSE/CANDLE SET;62;0;59,34;0,0;0,0;Normal;0,0
ORIGAMI ROSE INCENSE IN TUBE;535;0;267,82;0,0;0,0;Normal;0,0
ORIGAMI ROSE INCENSE/CANDLE SET;409;0;494,54;0,0;0,0;Normal;0,0
ORIGAMI SANDLEWOOD INCENSE/CAND SET;436;0;500,0;0,0;0,0;Normal;0,0
ORIGAMI VANILLA INCENSE CONES;155;0;71,19;0,0;0,0;Normal;0,0
ORIGAMI VANILLA INCENSE/CANDLE SET;293;0;340,23;0,0;0,0;Normal;0,0
OVAL  MINI PORTRAIT FRAME;292;0;569,18;0,0;0,0;Normal;0,0
OVAL WALL MIRROR DIAMANTE;229;5;2311,52;49,75;2,18;Normal;1,08
OVEN MITT APPLES DESIGN;939;21;1437,15;30,45;2,24;Normal;0,68
OVERNIGHT BAG VINTAGE ROSE PAISLEY;345;6;2407,35;29,7;1,74;Normal;0,52
OWL DOORSTOP;640;0;3731,34;0,0;0,0;Normal;0,0
OYSTER TRINKET BOX;54;0;123,66;0,0;0,0;Normal;0,0
PACK 20 DOLLY PEGS;242;0;174,5;0,0;0,0;Normal;0,0
PACK 20 ENGLISH ROSE PAPER NAPKINS;458;0;426,77;0,0;0,0;Normal;0,0
PACK 3 BOXES BIRD PANETTONE;204;0;451,84;0,0;0,0;Normal;0,0
PACK 3 BOXES BIRD PANNETONE;1580;0;3099,94;0,0;0,0;Normal;0,0
PACK 3 BOXES CHRISTMAS PANETTONE;76;6;248,48;11,7;7,89;Normal;0,92
PACK 3 BOXES CHRISTMAS PANNETONE;1266;15;2670,57;29,25;1,18;Normal;0,35
PACK 3 FIRE ENGINE/CAR PATCHES;38;0;59,65;0,0;0,0;Normal;0,0
PACK 3 IRON ON DOG PATCHES;245;0;294,59;0,0;0,0;Normal;0,0
PACK 4 FLOWER/BUTTERFLY PATCHES;1;0;1,25;0,0;0,0;Normal;0,0
PACK 6 HEART/ICE-CREAM PATCHES;408;0;486,87;0,0;0,0;Normal;0,0
PACK OF 12 50'S CHRISTMAS TISSUES;3727;0;1734,78;0,0;0,0;Normal;0,0
PACK OF 12 BLUE PAISLEY TISSUES;1761;24;617,47;6,96;1,36;Normal;0,09
PACK OF 12 CHRISTMAS FUN CARDS;108;23;289,69;67,85;21,3;Normal;14,45
PACK OF 12 CIRCUS PARADE TISSUES;791;12;276,85;4,68;1,52;Normal;0,07
PACK OF 12 COLOURED PENCILS;2279;12;1915,59;10,2;0,53;Normal;0,05
PACK OF 12 DOILEY TISSUES;72;0;28,08;0,0;0,0;Normal;0,0
PACK OF 12 DOLLY GIRL TISSUES;1138;8;509,38;3,12;0,7;Normal;0,02
PACK OF 12 HEARTS DESIGN TISSUES;8406;0;2614,1;0,0;0,0;Normal;0,0
PACK OF 12 LONDON TISSUES;25331;24;7647,8;8,16;0,09;Normal;0,01
PACK OF 12 PAISLEY PARK TISSUES;1638;0;761,06;0,0;0,0;Normal;0,0
PACK OF 12 PINK PAISLEY TISSUES;2429;24;821,87;6,96;0,99;Normal;0,07
PACK OF 12 PINK POLKADOT TISSUES;3502;0;1014,68;0,0;0,0;Normal;0,0
PACK OF 12 RED APPLE TISSUES;644;0;270,96;0,0;0,0;Normal;0,0
PACK OF 12 RED RETROSPOT TISSUES;5162;96;1656,71;27,84;1,86;Normal;0,52
PACK OF 12 SKULL TISSUES;4603;0;1374,13;0,0;0,0;Normal;0,0
PACK OF 12 SPACEBOY TISSUES;2265;36;789,79;14,04;1,59;Normal;0,22
PACK OF 12 STICKY BUNNIES;920;0;705,13;0,0;0,0;Normal;0,0
PACK OF 12 SUKI TISSUES;6914;1;2096,92;0,39;0,01;Normal;0,0
PACK OF 12 TRADITIONAL CRAYONS;5144;2;2323,43;0,84;0,04;Normal;0,0
PACK OF 12 VINTAGE CHRISTMAS TISSUE;2920;24;1338,5;9,36;0,82;Normal;0,08
PACK OF 12 VINTAGE DOILY TISSUES;1947;36;828,67;14,04;1,85;Normal;0,26
PACK OF 12 VINTAGE LEAF TISSUES;1413;0;530,51;0,0;0,0;Normal;0,0
PACK OF 12 WOODLAND TISSUES;3392;7;1042,44;2,73;0,21;Normal;0,01
PACK OF 20 NAPKINS PANTRY DESIGN;4160;16;3784,07;13,6;0,38;Normal;0,05
PACK OF 20 NAPKINS RED APPLES;1998;0;1765,68;0,0;0,0;Normal;0,0
PACK OF 20 SKULL PAPER NAPKINS;1511;0;1507,24;0,0;0,0;Normal;0,0
PACK OF 20 SPACEBOY NAPKINS;420;10;387,51;8,5;2,38;Normal;0,2
PACK OF 6 BIRDY GIFT TAGS;4648;45;5771,91;56,25;0,97;Normal;0,55
PACK OF 6 COCKTAIL PARASOL STRAWS;1832;0;754,02;0,0;0,0;Normal;0,0
PACK OF 6 HANDBAG GIFT BOXES;408;2;1149,65;5,1;0,49;Normal;0,02
PACK OF 6 LARGE FRUIT STRAWS;1803;36;1130,64;22,32;2,0;Normal;0,45
PACK OF 6 PANETTONE GIFT BOXES;221;14;518,03;35,7;6,33;Normal;2,26
PACK OF 6 PANNETONE GIFT BOXES;1530;0;4017,28;0,0;0,0;Normal;0,0
PACK OF 6 SANDCASTLE FLAGS ASSORTED;2416;13;2081,25;11,05;0,54;Normal;0,06
PACK OF 6 SKULL PAPER CUPS;864;1;586,64;0,65;0,12;Normal;0,0
PACK OF 6 SKULL PAPER PLATES;1120;0;962,86;0,0;0,0;Normal;0,0
PACK OF 6 SMALL FRUIT STRAWS;1378;72;570,73;30,24;5,22;Normal;1,58
PACK OF 6 SWEETIE GIFT BOXES;530;12;1360,1;30,6;2,26;Normal;0,69
PACK OF 60 DINOSAUR CAKE CASES;9917;71;4941,26;36,06;0,72;Normal;0,26
PACK OF 60 MUSHROOM CAKE CASES;1902;5;1274,95;2,75;0,26;Normal;0,01
PACK OF 60 PINK PAISLEY CAKE CASES;20365;77;9994,47;42,35;0,38;Normal;0,16
PACK OF 60 SPACEBOY CAKE CASES;4094;22;2464,74;12,1;0,54;Normal;0,07
PACK OF 72 RETROSPOT CAKE CASES;24986;284;15754,07;146,58;1,14;Normal;1,67
PACK OF 72 SKULL CAKE CASES;12503;48;7110,53;26,4;0,38;Normal;0,1
PACK OF SIX LED TEA LIGHTS;1658;96;4736,6;239,04;5,79;Normal;13,84
PACK/12 BLUE FOLKART CARDS;22;0;64,9;0,0;0,0;Normal;0,0
PACK/12 XMAS FUN CARD;35;0;103,25;0,0;0,0;Normal;0,0
PACKING CHARGE;12;1;90,0;7,5;8,33;Normal;0,62
PADS TO MATCH ALL CUSHIONS;4;0;0,0;0,0;0,0;Normal;0,0
PAINT YOUR OWN CANVAS SET;2301;273;3722,64;396,45;11,86;Normal;47,02
PAINT YOUR OWN EGGS IN CRATE;20;0;41,6;0,0;0,0;Normal;0,0
PAINTED HEART WREATH WITH BELL;12;0;15,0;0,0;0,0;Normal;0,0
PAINTED LIGHTBULB RAINBOW DESIGN;153;0;98,54;0,0;0,0;Normal;0,0
PAINTED METAL HEART WITH HOLLY BELL;1325;0;836,02;0,0;0,0;Normal;0,0
PAINTED METAL PEARS ASSORTED;4262;9;7117,13;15,21;0,21;Normal;0,03
PAINTED METAL STAR WITH HOLLY BELLS;1749;24;1037,29;34,8;1,37;Normal;0,48
PAINTED PINK RABBIT;561;0;475,81;0,0;0,0;Normal;0,0
PAINTED SEA SHELL METAL WINDCHIME;93;0;85,31;0,0;0,0;Normal;0,0
PAINTED YELLOW WOODEN DAISY;600;13;506,59;11,05;2,17;Normal;0,24
PAIR BUTTERFLY HAIR CLIPS;28;0;105,34;0,0;0,0;Normal;0,0
PAIR OF ENAMEL BUTTERFLY HAIRCLIP;21;0;70,06;0,0;0,0;Normal;0,0
PAIR OF PINK FLOWER CLUSTER SLIDE;47;0;117,4;0,0;0,0;Normal;0,0
PAISLEY PARK CARD;376;0;165,08;0,0;0,0;Normal;0,0
PAISLEY PATTERN  STICKERS;101;0;91,46;0,0;0,0;Normal;0,0
PALE PINK/AMETHYST STONE NECKLACE;3;0;29,85;0,0;0,0;Normal;0,0
PANDA AND BUNNIES STICKER SHEET;336;0;294,63;0,0;0,0;Normal;0,0
PANTRY 3 HOOK ROLLING PIN HANGER;165;3;674,4;11,25;1,82;Normal;0,2
PANTRY APPLE CORER;256;6;421,18;8,7;2,34;Normal;0,2
PANTRY CHOPPING BOARD;1063;946;5446,85;4803,06;88,99;Normal;4274,24
PANTRY HOOK BALLOON WHISK;165;0;378,05;0,0;0,0;Normal;0,0
PANTRY HOOK SPATULA;126;0;278,48;0,0;0,0;Normal;0,0
PANTRY HOOK TEA STRAINER;141;0;303,53;0,0;0,0;Normal;0,0
PANTRY KITCHEN THERMOMETER;88;0;124,52;0,0;0,0;Normal;0,0
PANTRY MAGNETIC  SHOPPING LIST;2253;23;3569,95;33,35;1,02;Normal;0,34
PANTRY PASTRY BRUSH;903;24;1230,02;30,0;2,66;Normal;0,8
PANTRY ROLLING PIN;1948;36;7725,02;135,0;1,85;Normal;2,5
PANTRY SCRUBBING BRUSH;1640;32;2793,86;52,8;1,95;Normal;1,03
PANTRY WASHING UP BRUSH;3179;19;5142,87;27,55;0,6;Normal;0,17
PAPER BUNTING COLOURED LACE;1602;16;4882,6;47,2;1,0;Normal;0,47
PAPER BUNTING PAISLEY PARK;158;6;442,62;17,7;3,8;Normal;0,67
PAPER BUNTING RETROSPOT;6261;53;19148,31;140,35;0,85;Normal;1,19
PAPER BUNTING VINTAGE PAISLEY;1312;0;4075,18;0,0;0,0;Normal;0,0
PAPER BUNTING VINTAGE PARTY;312;0;908,28;0,0;0,0;Normal;0,0
PAPER BUNTING WHITE LACE;3894;58;11349,98;170,7;1,49;Normal;2,54
PAPER CHAIN KIT 50'S CHRISTMAS;18530;333;62742,54;854,35;1,8;Normal;15,38
PAPER CHAIN KIT EMPIRE;5135;41;14963,67;120,95;0,8;Normal;0,97
PAPER CHAIN KIT LONDON;336;6;1031,44;17,7;1,79;Normal;0,32
PAPER CHAIN KIT RETROSPOT;4218;47;12957,54;138,65;1,11;Normal;1,54
PAPER CHAIN KIT SKULLS;430;0;1250,89;0,0;0,0;Normal;0,0
PAPER CHAIN KIT VINTAGE CHRISTMAS;9862;151;30924,44;421,45;1,53;Normal;6,45
PAPER CRAFT , LITTLE BIRDIE;80995;80995;168469,6;168469,6;100,0;Operational Reversal;168469,6
PAPER LANTERN 5 POINT SEQUIN STAR;50;0;287,5;0,0;0,0;Normal;0,0
PAPER LANTERN 5 POINT STAR MOON;98;20;414,98;83,0;20,41;Normal;16,94
PAPER LANTERN 5 POINT STAR MOON 30;10;0;41,5;0,0;0,0;Normal;0,0
PAPER LANTERN 5 POINT STUDDED STAR;8;0;46,0;0,0;0,0;Normal;0,0
PAPER LANTERN 6 POINT SNOW STAR;26;0;107,9;0,0;0,0;Normal;0,0
PAPER LANTERN 7 POINT SNOW STAR;103;10;711,51;66,5;9,71;Normal;6,46
PAPER LANTERN 9 POINT DELUXE STAR;105;0;704,89;0,0;0,0;Normal;0,0
PAPER LANTERN 9 POINT HOLLY STAR 23;18;0;74,7;0,0;0,0;Normal;0,0
PAPER LANTERN 9 POINT HOLLY STAR 40;6;0;37,5;0,0;0,0;Normal;0,0
PAPER LANTERN 9 POINT HOLLY STAR L;75;0;506,01;0,0;0,0;Normal;0,0
PAPER LANTERN 9 POINT HOLLY STAR S;80;0;336,14;0,0;0,0;Normal;0,0
PAPER LANTERN 9 POINT SNOW STAR;364;24;1784,36;99,6;6,59;Normal;6,56
PAPER POCKET TRAVELING FAN;6399;1385;813,14;108,29;21,64;Normal;23,43
PAPERWEIGHT CHILDHOOD MEMORIES;64;0;145,8;0,0;0,0;Normal;0,0
PAPERWEIGHT HOME SWEET HOME;132;0;235,44;0,0;0,0;Normal;0,0
PAPERWEIGHT KINGS CHOICE;150;6;205,18;15,3;4,0;Normal;0,61
PAPERWEIGHT SAVE THE PLANET;302;100;549,75;210,0;33,11;Normal;69,53
PAPERWEIGHT VINTAGE COLLAGE;330;4;593,24;10,2;1,21;Normal;0,12
PAPERWEIGHT VINTAGE PAISLEY;134;0;200,06;0,0;0,0;Normal;0,0
PARISIENNE CURIO CABINET;429;31;3680,58;224,85;7,23;Normal;16,26
PARISIENNE JEWELLERY DRAWER;680;22;5145,48;165,0;3,24;Normal;5,35
PARISIENNE KEY CABINET;520;49;3201,78;281,75;9,42;Normal;26,54
PARISIENNE SEWING BOX;262;22;3231,04;258,2;8,4;Normal;21,69
PARLOUR CERAMIC WALL HOOK;421;34;1748,65;141,1;8,08;Normal;11,4
PARTY BUNTING;16977;268;93658,53;1156,8;1,58;Normal;18,28
PARTY CHARMS 50 PIECES;1797;3;1380,95;2,49;0,17;Normal;0,0
PARTY CONE CHRISTMAS DECORATION;2169;145;2572,83;104,53;6,69;Normal;6,99
PARTY CONES CANDY ASSORTED;1342;56;1625,33;70,0;4,17;Normal;2,92
PARTY CONES CANDY DECORATION;190;0;428,76;0,0;0,0;Normal;0,0
PARTY CONES CANDY TREE DECORATION;590;0;482,06;0,0;0,0;Normal;0,0
PARTY CONES CARNIVAL ASSORTED;368;0;459,88;0,0;0,0;Normal;0,0
PARTY FOOD SHOPPER BAG;357;0;415,88;0,0;0,0;Normal;0,0
PARTY INVITES BALLOON GIRL;351;0;313,39;0,0;0,0;Normal;0,0
PARTY INVITES DINOSAURS;473;0;410,93;0,0;0,0;Normal;0,0
PARTY INVITES FOOTBALL;365;0;347,15;0,0;0,0;Normal;0,0
PARTY INVITES JAZZ HEARTS;438;0;381,81;0,0;0,0;Normal;0,0
PARTY INVITES SPACEMAN;403;0;342,63;0,0;0,0;Normal;0,0
PARTY INVITES WOODLAND;481;0;431,05;0,0;0,0;Normal;0,0
PARTY METAL SIGN;3320;13;5097,93;18,85;0,39;Normal;0,07
PARTY PIZZA DISH BLUE POLKADOT;772;18;303,5;15,3;2,33;Normal;0,36
PARTY PIZZA DISH GREEN POLKADOT;653;0;233,58;0,0;0,0;Normal;0,0
PARTY PIZZA DISH PINK POLKADOT;808;0;287,7;0,0;0,0;Normal;0,0
PARTY PIZZA DISH RED RETROSPOT;1197;18;502,5;15,3;1,5;Normal;0,23
PARTY TIME DESIGN FLANNEL;50;0;44,75;0,0;0,0;Normal;0,0
PARTY TIME PENCIL ERASERS;1113;0;262,24;0,0;0,0;Normal;0,0
PASTEL BLUE PHOTO ALBUM;29;0;14,5;0,0;0,0;Normal;0,0
PASTEL COLOUR HONEYCOMB FAN;621;36;394,05;14,04;5,8;Normal;0,81
PASTEL PINK PHOTO ALBUM;7;0;3,5;0,0;0,0;Normal;0,0
PEACE SMALL WOOD LETTERS;30;1;222,96;6,75;3,33;Normal;0,22
PEACE WOODEN BLOCK LETTERS;288;1;1455,92;6,95;0,35;Normal;0,02
PEACH KNITTED HEN;309;0;306,56;0,0;0,0;Normal;0,0
PEARL AND CHERRY QUARTZ BRACLET;5;0;18,27;0,0;0,0;Normal;0,0
PEARL CRYSTAL PUMPKIN T-LIGHT HLDR;1474;4;2449,3;6,6;0,27;Normal;0,02
PEARLISED IVORY HEART LARGE;262;0;432,42;0,0;0,0;Normal;0,0
PEARLISED IVORY HEART SMALL;218;0;268,67;0,0;0,0;Normal;0,0
PEG BAG APPLES DESIGN;1319;6;3435,11;15,3;0,45;Normal;0,07
PENCIL CASE LIFE IS BEAUTIFUL;266;0;863,71;0,0;0,0;Normal;0,0
PENNY FARTHING BIRTHDAY CARD;2310;0;1013,98;0,0;0,0;Normal;0,0
PENS ASSORTED FUNKY JEWELED;4887;0;1053,08;0,0;0,0;Normal;0,0
PENS ASSORTED FUNNY FACE;8672;0;2399,68;0,0;0,0;Normal;0,0
PENS ASSORTED SPACEBALL;5406;36;1278,46;6,84;0,67;Normal;0,05
PERIWINKLE T-LIGHT HOLDER;48;0;75,02;0,0;0,0;Normal;0,0
PET MUG, GOLDFISH;36;0;13,1;0,0;0,0;Normal;0,0
PETIT TRAY CHIC;951;0;1615,79;0,0;0,0;Normal;0,0
PHARMACIE FIRST AID TIN;421;17;3416,41;114,75;4,04;Normal;4,64
PHOTO CLIP LINE;167;0;248,73;0,0;0,0;Normal;0,0
PHOTO CUBE;3086;0;5760,98;0,0;0,0;Normal;0,0
PHOTO FRAME 3 CLASSIC HANGING;514;42;5110,85;394,7;8,17;Normal;32,25
PHOTO FRAME CORNICE;2969;53;8914,39;156,35;1,79;Normal;2,8
PHOTO FRAME LINEN AND LACE LARGE;191;7;711,68;26,25;3,66;Normal;0,96
PHOTO FRAME LINEN AND LACE SMALL;286;14;594,88;29,12;4,9;Normal;1,43
PICNIC BASKET WICKER 60 PIECES;61;0;39619,5;0,0;0,0;Normal;0,0
PICNIC BASKET WICKER LARGE;1570;100;18954,01;873,2;6,37;Normal;55,62
PICNIC BASKET WICKER SMALL;1746;74;10979,22;380,3;4,24;Normal;16,12
PICNIC BOXES SET OF 3 RETROSPOT;400;8;2048,16;39,6;2,0;Normal;0,79
PICTURE DOMINOES;2046;0;3272,08;0,0;0,0;Normal;0,0
PICTURE FRAME WOOD TRIPLE PORTRAIT;1032;17;6734,6;105,15;1,65;Normal;1,73
PIECE OF CAMO STATIONERY SET;3056;108;286,6;8,64;3,53;Normal;0,3
PIG MUG IN TWO COLOUR DESIGNS;135;0;120,91;0,0;0,0;Normal;0,0
PIN CUSHION BABUSHKA BLUE;101;0;290,21;0,0;0,0;Normal;0,0
PIN CUSHION BABUSHKA PINK;373;0;939,28;0,0;0,0;Normal;0,0
PIN CUSHION BABUSHKA RED;129;0;440,43;0,0;0,0;Normal;0,0
PING MICROWAVE APRON;405;0;896,13;0,0;0,0;Normal;0,0
